Subtheme Pair,Parent Themes,Subtheme A,Subtheme B,Parent Theme A,Parent Theme B,Number of Job Postings,% Jobs
Containers and Orchestration + Programming Languages and Paradigms,"Cloud, DevOps, and Security + Software Engineering and Architecture",Containers and Orchestration,Programming Languages and Paradigms,"Cloud, DevOps, and Security",Software Engineering and Architecture,577,17.1
Data Engineering and Big Data + Software Development Process and Practices,"Data, AI, and Analytics + Software Engineering and Architecture",Data Engineering and Big Data,Software Development Process and Practices,"Data, AI, and Analytics",Software Engineering and Architecture,571,16.9
"Monitoring, Observability, and SRE + Software Architecture and System Design","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Monitoring, Observability, and SRE",Software Architecture and System Design,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,567,16.8
"Data Platforms and Databases + Systems, Networking, and Administration","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Platforms and Databases,"Systems, Networking, and Administration","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",566,16.8
Analytics and Business Intelligence + Programming Languages and Paradigms,"Data, AI, and Analytics + Software Engineering and Architecture",Analytics and Business Intelligence,Programming Languages and Paradigms,"Data, AI, and Analytics",Software Engineering and Architecture,563,16.7
"Domain and Industry Knowledge + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Domain and Industry Knowledge,"Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",557,16.5
"Monitoring, Observability, and SRE + Software Development Process and Practices","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Monitoring, Observability, and SRE",Software Development Process and Practices,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,553,16.4
Analytics and Business Intelligence + Backend and API Development,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,Backend and API Development,"Data, AI, and Analytics",Application and Web Development,552,16.4
Microsoft .NET Development + Software Development Process and Practices,Application and Web Development + Software Engineering and Architecture,Microsoft .NET Development,Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,551,16.4
Data Platforms and Databases + UI/UX Design and Accessibility,"Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,UI/UX Design and Accessibility,"Data, AI, and Analytics",Application and Web Development,549,16.3
AI/ML and LLMs + Business and Product Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,Business and Product Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",547,16.2
"Frontend Web Development + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability",Frontend Web Development,"Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",545,16.2
"Cloud Platforms and Services + Education, Degrees, and Certifications","Cloud, DevOps, and Security + Product, Project, and Professional Skills",Cloud Platforms and Services,"Education, Degrees, and Certifications","Cloud, DevOps, and Security","Product, Project, and Professional Skills",538,16.0
"Education, Degrees, and Certifications + Frontend Web Development","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications",Frontend Web Development,"Product, Project, and Professional Skills",Application and Web Development,536,15.9
Analytics and Business Intelligence + Testing and Quality Assurance,"Data, AI, and Analytics + Software Engineering and Architecture",Analytics and Business Intelligence,Testing and Quality Assurance,"Data, AI, and Analytics",Software Engineering and Architecture,526,15.6
Containers and Orchestration + Data Platforms and Databases,"Cloud, DevOps, and Security + Data, AI, and Analytics",Containers and Orchestration,Data Platforms and Databases,"Cloud, DevOps, and Security","Data, AI, and Analytics",523,15.5
"Data Platforms and Databases + Education, Degrees, and Certifications","Data, AI, and Analytics + Product, Project, and Professional Skills",Data Platforms and Databases,"Education, Degrees, and Certifications","Data, AI, and Analytics","Product, Project, and Professional Skills",521,15.5
DevOps and CI/CD + Scripting and Automation Tools,"Cloud, DevOps, and Security + Software Engineering and Architecture",DevOps and CI/CD,Scripting and Automation Tools,"Cloud, DevOps, and Security",Software Engineering and Architecture,518,15.4
Backend and API Development + Scripting and Automation Tools,Application and Web Development + Software Engineering and Architecture,Backend and API Development,Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,511,15.2
Data Engineering and Big Data + Programming Languages and Paradigms,"Data, AI, and Analytics + Software Engineering and Architecture",Data Engineering and Big Data,Programming Languages and Paradigms,"Data, AI, and Analytics",Software Engineering and Architecture,510,15.1
Analytics and Business Intelligence + Documentation and Communication,"Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,Documentation and Communication,"Data, AI, and Analytics","Product, Project, and Professional Skills",506,15.0
Business and Product Skills + Containers and Orchestration,"Product, Project, and Professional Skills + Cloud, DevOps, and Security",Business and Product Skills,Containers and Orchestration,"Product, Project, and Professional Skills","Cloud, DevOps, and Security",504,15.0
AI/ML and LLMs + DevOps and CI/CD,"Data, AI, and Analytics + Cloud, DevOps, and Security",AI/ML and LLMs,DevOps and CI/CD,"Data, AI, and Analytics","Cloud, DevOps, and Security",503,14.9
Business and Product Skills + Data Engineering and Big Data,"Product, Project, and Professional Skills + Data, AI, and Analytics",Business and Product Skills,Data Engineering and Big Data,"Product, Project, and Professional Skills","Data, AI, and Analytics",501,14.9
AI/ML and LLMs + Cloud Platforms and Services,"Data, AI, and Analytics + Cloud, DevOps, and Security",AI/ML and LLMs,Cloud Platforms and Services,"Data, AI, and Analytics","Cloud, DevOps, and Security",500,14.8
"Backend and API Development + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability",Backend and API Development,"Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",497,14.8
Business and Product Skills + Scripting and Automation Tools,"Product, Project, and Professional Skills + Software Engineering and Architecture",Business and Product Skills,Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,496,14.7
Containers and Orchestration + Testing and Quality Assurance,"Cloud, DevOps, and Security + Software Engineering and Architecture",Containers and Orchestration,Testing and Quality Assurance,"Cloud, DevOps, and Security",Software Engineering and Architecture,495,14.7
"Security, Authentication, and Compliance + UI/UX Design and Accessibility","Cloud, DevOps, and Security + Application and Web Development","Security, Authentication, and Compliance",UI/UX Design and Accessibility,"Cloud, DevOps, and Security",Application and Web Development,495,14.7
Cloud Platforms and Services + Scripting and Automation Tools,"Cloud, DevOps, and Security + Software Engineering and Architecture",Cloud Platforms and Services,Scripting and Automation Tools,"Cloud, DevOps, and Security",Software Engineering and Architecture,490,14.5
AI/ML and LLMs + Frontend Web Development,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,Frontend Web Development,"Data, AI, and Analytics",Application and Web Development,489,14.5
AI/ML and LLMs + Testing and Quality Assurance,"Data, AI, and Analytics + Software Engineering and Architecture",AI/ML and LLMs,Testing and Quality Assurance,"Data, AI, and Analytics",Software Engineering and Architecture,486,14.4
Analytics and Business Intelligence + Project Management and Agile Practices,"Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,Project Management and Agile Practices,"Data, AI, and Analytics","Product, Project, and Professional Skills",486,14.4
Domain and Industry Knowledge + UI/UX Design and Accessibility,"Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,486,14.4
Cloud Platforms and Services + Data Engineering and Big Data,"Cloud, DevOps, and Security + Data, AI, and Analytics",Cloud Platforms and Services,Data Engineering and Big Data,"Cloud, DevOps, and Security","Data, AI, and Analytics",483,14.3
"DevOps and CI/CD + Monitoring, Observability, and SRE","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",DevOps and CI/CD,"Monitoring, Observability, and SRE","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",481,14.3
Analytics and Business Intelligence + DevOps and CI/CD,"Data, AI, and Analytics + Cloud, DevOps, and Security",Analytics and Business Intelligence,DevOps and CI/CD,"Data, AI, and Analytics","Cloud, DevOps, and Security",474,14.1
Analytics and Business Intelligence + Cloud Platforms and Services,"Data, AI, and Analytics + Cloud, DevOps, and Security",Analytics and Business Intelligence,Cloud Platforms and Services,"Data, AI, and Analytics","Cloud, DevOps, and Security",473,14.0
Microsoft .NET Development + Software Architecture and System Design,Application and Web Development + Software Engineering and Architecture,Microsoft .NET Development,Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,469,13.9
Containers and Orchestration + Frontend Web Development,"Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,Frontend Web Development,"Cloud, DevOps, and Security",Application and Web Development,468,13.9
"Cloud Platforms and Services + Monitoring, Observability, and SRE","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Cloud Platforms and Services,"Monitoring, Observability, and SRE","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",467,13.9
"Education, Degrees, and Certifications + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security","Education, Degrees, and Certifications","Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",462,13.7
"Monitoring, Observability, and SRE + Programming Languages and Paradigms","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Monitoring, Observability, and SRE",Programming Languages and Paradigms,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,461,13.7
Business and Product Skills + Microsoft .NET Development,"Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,Microsoft .NET Development,"Product, Project, and Professional Skills",Application and Web Development,459,13.6
Data Platforms and Databases + Microsoft .NET Development,"Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,Microsoft .NET Development,"Data, AI, and Analytics",Application and Web Development,459,13.6
Microsoft .NET Development + Programming Languages and Paradigms,Application and Web Development + Software Engineering and Architecture,Microsoft .NET Development,Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,458,13.6
AI/ML and LLMs + Documentation and Communication,"Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,Documentation and Communication,"Data, AI, and Analytics","Product, Project, and Professional Skills",455,13.5
Data Engineering and Big Data + DevOps and CI/CD,"Data, AI, and Analytics + Cloud, DevOps, and Security",Data Engineering and Big Data,DevOps and CI/CD,"Data, AI, and Analytics","Cloud, DevOps, and Security",453,13.4
DevOps and CI/CD + Microsoft .NET Development,"Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,Microsoft .NET Development,"Cloud, DevOps, and Security",Application and Web Development,453,13.4
"Monitoring, Observability, and SRE + Testing and Quality Assurance","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Monitoring, Observability, and SRE",Testing and Quality Assurance,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,446,13.2
"Business and Product Skills + Monitoring, Observability, and SRE","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Business and Product Skills,"Monitoring, Observability, and SRE","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",442,13.1
Containers and Orchestration + Project Management and Agile Practices,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Containers and Orchestration,Project Management and Agile Practices,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",442,13.1
AI/ML and LLMs + Project Management and Agile Practices,"Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,Project Management and Agile Practices,"Data, AI, and Analytics","Product, Project, and Professional Skills",441,13.1
Analytics and Business Intelligence + Frontend Web Development,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,Frontend Web Development,"Data, AI, and Analytics",Application and Web Development,439,13.0
Microsoft .NET Development + Testing and Quality Assurance,Application and Web Development + Software Engineering and Architecture,Microsoft .NET Development,Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,436,12.9
"Embedded, Hardware, and IoT + General Professional Skills and Soft Skills","Infrastructure, Systems, and Reliability + Product, Project, and Professional Skills","Embedded, Hardware, and IoT",General Professional Skills and Soft Skills,"Infrastructure, Systems, and Reliability","Product, Project, and Professional Skills",435,12.9
Containers and Orchestration + Documentation and Communication,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Containers and Orchestration,Documentation and Communication,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",431,12.8
Data Engineering and Big Data + Testing and Quality Assurance,"Data, AI, and Analytics + Software Engineering and Architecture",Data Engineering and Big Data,Testing and Quality Assurance,"Data, AI, and Analytics",Software Engineering and Architecture,422,12.5
Cloud Platforms and Services + Microsoft .NET Development,"Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,Microsoft .NET Development,"Cloud, DevOps, and Security",Application and Web Development,420,12.5
Analytics and Business Intelligence + Domain and Industry Knowledge,"Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,Domain and Industry Knowledge,"Data, AI, and Analytics","Product, Project, and Professional Skills",419,12.4
Data Engineering and Big Data + Project Management and Agile Practices,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Engineering and Big Data,Project Management and Agile Practices,"Data, AI, and Analytics","Product, Project, and Professional Skills",419,12.4
Project Management and Agile Practices + Scripting and Automation Tools,"Product, Project, and Professional Skills + Software Engineering and Architecture",Project Management and Agile Practices,Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,415,12.3
General Professional Skills and Soft Skills + Mobile Development,"Product, Project, and Professional Skills + Application and Web Development",General Professional Skills and Soft Skills,Mobile Development,"Product, Project, and Professional Skills",Application and Web Development,414,12.3
"Scripting and Automation Tools + Security, Authentication, and Compliance","Software Engineering and Architecture + Cloud, DevOps, and Security",Scripting and Automation Tools,"Security, Authentication, and Compliance",Software Engineering and Architecture,"Cloud, DevOps, and Security",409,12.1
Microsoft .NET Development + Project Management and Agile Practices,"Application and Web Development + Product, Project, and Professional Skills",Microsoft .NET Development,Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",408,12.1
Documentation and Communication + Scripting and Automation Tools,"Product, Project, and Professional Skills + Software Engineering and Architecture",Documentation and Communication,Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,401,11.9
AI/ML and LLMs + UI/UX Design and Accessibility,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,UI/UX Design and Accessibility,"Data, AI, and Analytics",Application and Web Development,389,11.5
"Analytics and Business Intelligence + Security, Authentication, and Compliance","Data, AI, and Analytics + Cloud, DevOps, and Security",Analytics and Business Intelligence,"Security, Authentication, and Compliance","Data, AI, and Analytics","Cloud, DevOps, and Security",388,11.5
Data Engineering and Big Data + Frontend Web Development,"Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,Frontend Web Development,"Data, AI, and Analytics",Application and Web Development,385,11.4
"Education, Degrees, and Certifications + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability","Education, Degrees, and Certifications","Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",382,11.3
"AI/ML and LLMs + Security, Authentication, and Compliance","Data, AI, and Analytics + Cloud, DevOps, and Security",AI/ML and LLMs,"Security, Authentication, and Compliance","Data, AI, and Analytics","Cloud, DevOps, and Security",381,11.3
"Education, Degrees, and Certifications + UI/UX Design and Accessibility","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications",UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,381,11.3
Data Engineering and Big Data + Documentation and Communication,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Engineering and Big Data,Documentation and Communication,"Data, AI, and Analytics","Product, Project, and Professional Skills",379,11.2
"Systems, Networking, and Administration + UI/UX Design and Accessibility","Infrastructure, Systems, and Reliability + Application and Web Development","Systems, Networking, and Administration",UI/UX Design and Accessibility,"Infrastructure, Systems, and Reliability",Application and Web Development,378,11.2
"Monitoring, Observability, and SRE + Security, Authentication, and Compliance","Infrastructure, Systems, and Reliability + Cloud, DevOps, and Security","Monitoring, Observability, and SRE","Security, Authentication, and Compliance","Infrastructure, Systems, and Reliability","Cloud, DevOps, and Security",373,11.1
Data Platforms and Databases + Scripting and Automation Tools,"Data, AI, and Analytics + Software Engineering and Architecture",Data Platforms and Databases,Scripting and Automation Tools,"Data, AI, and Analytics",Software Engineering and Architecture,371,11.0
Frontend Web Development + Scripting and Automation Tools,Application and Web Development + Software Engineering and Architecture,Frontend Web Development,Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,370,11.0
"Scripting and Automation Tools + Systems, Networking, and Administration","Software Engineering and Architecture + Infrastructure, Systems, and Reliability",Scripting and Automation Tools,"Systems, Networking, and Administration",Software Engineering and Architecture,"Infrastructure, Systems, and Reliability",368,10.9
Documentation and Communication + Microsoft .NET Development,"Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,Microsoft .NET Development,"Product, Project, and Professional Skills",Application and Web Development,367,10.9
"Documentation and Communication + Monitoring, Observability, and SRE","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Documentation and Communication,"Monitoring, Observability, and SRE","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",367,10.9
Analytics and Business Intelligence + UI/UX Design and Accessibility,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,UI/UX Design and Accessibility,"Data, AI, and Analytics",Application and Web Development,362,10.7
"E-commerce, CRM, ERP, and Enterprise Platforms + General Professional Skills and Soft Skills","Application and Web Development + Product, Project, and Professional Skills","E-commerce, CRM, ERP, and Enterprise Platforms",General Professional Skills and Soft Skills,Application and Web Development,"Product, Project, and Professional Skills",358,10.6
Containers and Orchestration + Domain and Industry Knowledge,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Containers and Orchestration,Domain and Industry Knowledge,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",352,10.4
"Data Engineering and Big Data + Security, Authentication, and Compliance","Data, AI, and Analytics + Cloud, DevOps, and Security",Data Engineering and Big Data,"Security, Authentication, and Compliance","Data, AI, and Analytics","Cloud, DevOps, and Security",350,10.4
AI/ML and LLMs + Domain and Industry Knowledge,"Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,Domain and Industry Knowledge,"Data, AI, and Analytics","Product, Project, and Professional Skills",348,10.3
"Frontend Web Development + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability",Frontend Web Development,"Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",347,10.3
Mobile Development + Software Development Process and Practices,Application and Web Development + Software Engineering and Architecture,Mobile Development,Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,347,10.3
"Monitoring, Observability, and SRE + Project Management and Agile Practices","Infrastructure, Systems, and Reliability + Product, Project, and Professional Skills","Monitoring, Observability, and SRE",Project Management and Agile Practices,"Infrastructure, Systems, and Reliability","Product, Project, and Professional Skills",345,10.2
"Data Platforms and Databases + Monitoring, Observability, and SRE","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Platforms and Databases,"Monitoring, Observability, and SRE","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",340,10.1
Domain and Industry Knowledge + Scripting and Automation Tools,"Product, Project, and Professional Skills + Software Engineering and Architecture",Domain and Industry Knowledge,Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,339,10.1
"Analytics and Business Intelligence + Systems, Networking, and Administration","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Analytics and Business Intelligence,"Systems, Networking, and Administration","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",337,10.0
"Containers and Orchestration + Systems, Networking, and Administration","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Containers and Orchestration,"Systems, Networking, and Administration","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",337,10.0
"Embedded, Hardware, and IoT + Software Development Process and Practices","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Embedded, Hardware, and IoT",Software Development Process and Practices,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,333,9.9
Mobile Development + Software Architecture and System Design,Application and Web Development + Software Engineering and Architecture,Mobile Development,Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,328,9.7
Domain and Industry Knowledge + Microsoft .NET Development,"Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,Microsoft .NET Development,"Product, Project, and Professional Skills",Application and Web Development,316,9.4
"Embedded, Hardware, and IoT + Programming Languages and Paradigms","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Embedded, Hardware, and IoT",Programming Languages and Paradigms,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,310,9.2
Data Engineering and Big Data + Domain and Industry Knowledge,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Engineering and Big Data,Domain and Industry Knowledge,"Data, AI, and Analytics","Product, Project, and Professional Skills",308,9.1
"Domain and Industry Knowledge + Monitoring, Observability, and SRE","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Domain and Industry Knowledge,"Monitoring, Observability, and SRE","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",306,9.1
"Embedded, Hardware, and IoT + Testing and Quality Assurance","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Embedded, Hardware, and IoT",Testing and Quality Assurance,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,297,8.8
"Containers and Orchestration + Education, Degrees, and Certifications","Cloud, DevOps, and Security + Product, Project, and Professional Skills",Containers and Orchestration,"Education, Degrees, and Certifications","Cloud, DevOps, and Security","Product, Project, and Professional Skills",295,8.8
"E-commerce, CRM, ERP, and Enterprise Platforms + Software Development Process and Practices",Application and Web Development + Software Engineering and Architecture,"E-commerce, CRM, ERP, and Enterprise Platforms",Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,292,8.7
"Analytics and Business Intelligence + Education, Degrees, and Certifications","Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,"Education, Degrees, and Certifications","Data, AI, and Analytics","Product, Project, and Professional Skills",291,8.6
"Business and Product Skills + E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,"E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills",Application and Web Development,286,8.5
"Containers and Orchestration + Monitoring, Observability, and SRE","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Containers and Orchestration,"Monitoring, Observability, and SRE","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",282,8.4
Containers and Orchestration + Data Engineering and Big Data,"Cloud, DevOps, and Security + Data, AI, and Analytics",Containers and Orchestration,Data Engineering and Big Data,"Cloud, DevOps, and Security","Data, AI, and Analytics",277,8.2
"Microsoft .NET Development + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security",Microsoft .NET Development,"Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",277,8.2
"Microsoft .NET Development + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability",Microsoft .NET Development,"Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",276,8.2
Mobile Development + Programming Languages and Paradigms,Application and Web Development + Software Engineering and Architecture,Mobile Development,Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,275,8.2
Business and Product Skills + Mobile Development,"Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,Mobile Development,"Product, Project, and Professional Skills",Application and Web Development,273,8.1
"Data Engineering and Big Data + Systems, Networking, and Administration","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Engineering and Big Data,"Systems, Networking, and Administration","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",272,8.1
Data Engineering and Big Data + UI/UX Design and Accessibility,"Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,UI/UX Design and Accessibility,"Data, AI, and Analytics",Application and Web Development,271,8.0
"AI/ML and LLMs + Systems, Networking, and Administration","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",AI/ML and LLMs,"Systems, Networking, and Administration","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",270,8.0
Containers and Orchestration + UI/UX Design and Accessibility,"Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,UI/UX Design and Accessibility,"Cloud, DevOps, and Security",Application and Web Development,270,8.0
Containers and Orchestration + Scripting and Automation Tools,"Cloud, DevOps, and Security + Software Engineering and Architecture",Containers and Orchestration,Scripting and Automation Tools,"Cloud, DevOps, and Security",Software Engineering and Architecture,267,7.9
Analytics and Business Intelligence + Scripting and Automation Tools,"Data, AI, and Analytics + Software Engineering and Architecture",Analytics and Business Intelligence,Scripting and Automation Tools,"Data, AI, and Analytics",Software Engineering and Architecture,266,7.9
"Embedded, Hardware, and IoT + Software Architecture and System Design","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Embedded, Hardware, and IoT",Software Architecture and System Design,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,266,7.9
"E-commerce, CRM, ERP, and Enterprise Platforms + Software Architecture and System Design",Application and Web Development + Software Engineering and Architecture,"E-commerce, CRM, ERP, and Enterprise Platforms",Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,265,7.9
"Education, Degrees, and Certifications + Scripting and Automation Tools","Product, Project, and Professional Skills + Software Engineering and Architecture","Education, Degrees, and Certifications",Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,265,7.9
AI/ML and LLMs + Containers and Orchestration,"Data, AI, and Analytics + Cloud, DevOps, and Security",AI/ML and LLMs,Containers and Orchestration,"Data, AI, and Analytics","Cloud, DevOps, and Security",261,7.7
Mobile Development + Project Management and Agile Practices,"Application and Web Development + Product, Project, and Professional Skills",Mobile Development,Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",254,7.5
Mobile Development + Testing and Quality Assurance,Application and Web Development + Software Engineering and Architecture,Mobile Development,Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,253,7.5
"AI/ML and LLMs + Education, Degrees, and Certifications","Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,"Education, Degrees, and Certifications","Data, AI, and Analytics","Product, Project, and Professional Skills",252,7.5
"Domain and Industry Knowledge + Embedded, Hardware, and IoT","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Domain and Industry Knowledge,"Embedded, Hardware, and IoT","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",252,7.5
"Monitoring, Observability, and SRE + Scripting and Automation Tools","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Monitoring, Observability, and SRE",Scripting and Automation Tools,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,252,7.5
Scripting and Automation Tools + UI/UX Design and Accessibility,Software Engineering and Architecture + Application and Web Development,Scripting and Automation Tools,UI/UX Design and Accessibility,Software Engineering and Architecture,Application and Web Development,250,7.4
"Business and Product Skills + Embedded, Hardware, and IoT","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Business and Product Skills,"Embedded, Hardware, and IoT","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",244,7.2
AI/ML and LLMs + Scripting and Automation Tools,"Data, AI, and Analytics + Software Engineering and Architecture",AI/ML and LLMs,Scripting and Automation Tools,"Data, AI, and Analytics",Software Engineering and Architecture,243,7.2
"E-commerce, CRM, ERP, and Enterprise Platforms + Project Management and Agile Practices","Application and Web Development + Product, Project, and Professional Skills","E-commerce, CRM, ERP, and Enterprise Platforms",Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",243,7.2
"AI/ML and LLMs + Monitoring, Observability, and SRE","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",AI/ML and LLMs,"Monitoring, Observability, and SRE","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",240,7.1
"Data Engineering and Big Data + Education, Degrees, and Certifications","Data, AI, and Analytics + Product, Project, and Professional Skills",Data Engineering and Big Data,"Education, Degrees, and Certifications","Data, AI, and Analytics","Product, Project, and Professional Skills",240,7.1
